	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
1.00	340662.50	10.05	1.30	3.70	30.40	-10.49	-0.63	0.00	0.00	0.87	3.01	0.50	-1.00	0.00	0.00	-9.24	156.90	
2.00	236835.30	10.47	1.30	5.50	42.49	-9.85	-0.22	0.00	0.00	1.07	4.07	0.80	-1.00	0.00	0.00	-7.83	188.90	
3.00	315480.10	10.45	1.90	5.60	49.71	-13.24	0.89	0.00	0.00	1.79	4.74	1.20	-1.00	0.00	0.00	-4.66	190.50	
4.00	338301.10	10.79	1.90	5.20	52.91	-11.31	0.95	0.00	0.00	1.44	4.99	1.10	-1.00	0.00	0.00	-5.98	99.50	
5.00	181690.60	14.66	2.10	4.30	53.33	-8.00	1.37	0.00	0.00	1.86	3.39	1.10	-1.00	0.00	0.00	-6.30	84.20	
6.00	111066.80	20.60	1.50	8.70	155.73	-7.99	0.55	0.00	0.00	1.21	7.75	1.00	-1.00	0.00	0.00	-13.66	372.40	
7.00	75063.20	12.72	2.00	13.50	151.99	-7.69	-0.45	0.00	0.00	1.75	4.81	1.60	-1.00	0.00	0.00	-5.80	80.80	
8.00	59650.70	19.28	1.90	14.50	227.47	-8.58	-1.01	0.00	0.00	1.47	4.95	1.10	-1.00	0.00	0.00	-10.52	28.30	
9.00	57656.80	16.03	2.10	12.00	163.73	-9.34	1.80	0.00	0.00	1.50	3.90	1.30	-1.00	0.00	0.00	-8.56	338.40	
10.00	304254.50	13.67	1.70	9.90	100.03	-10.36	-1.74	0.00	0.00	1.10	2.25	1.00	-1.00	0.00	0.00	-9.94	100.90	
11.00	239259.40	12.15	2.20	2.90	38.88	-9.19	0.64	0.00	0.00	1.78	3.30	1.60	-1.00	0.00	0.00	-5.46	309.00	
12.00	203728.80	11.16	1.80	7.60	85.62	-9.98	2.45	0.00	0.00	1.67	8.61	1.30	-1.00	0.00	0.00	-5.34	234.40	
13.00	128468.90	10.21	2.80	5.10	47.28	-8.92	0.64	0.00	0.00	2.57	4.60	2.00	-1.00	0.00	0.00	-3.17	238.50	
14.00	65163.50	11.93	1.70	6.30	55.08	-6.56	-0.39	0.00	0.00	1.39	4.38	0.80	-1.00	0.00	0.00	-6.87	165.10	
15.00	227531.70	14.91	2.00	8.00	112.58	-9.52	3.31	0.00	0.00	1.79	3.59	1.50	-1.00	0.00	0.00	-6.68	101.30	
16.00	227714.10	10.04	1.30	6.80	53.40	-7.89	1.87	0.00	0.00	1.12	5.01	0.60	-1.00	0.00	0.00	-7.18	283.70	
17.00	27492.70	13.47	2.30	2.10	41.69	-8.91	1.05	0.00	0.00	1.99	3.72	1.80	-1.00	0.00	0.00	-5.41	126.30	
18.00	232096.10	11.89	1.60	13.50	166.69	-9.27	2.09	0.00	0.00	1.19	3.39	1.00	-1.00	0.00	0.00	-8.00	57.70	
19.00	130752.40	10.94	2.20	2.20	30.43	-11.45	0.94	0.00	0.00	2.02	2.78	1.80	-1.00	0.00	0.00	-4.34	38.80	
20.00	31521.80	15.59	2.80	2.10	48.24	-7.38	0.06	0.00	0.00	2.17	3.52	1.60	-1.00	0.00	0.00	-5.75	315.40	
21.00	190609.30	12.46	2.30	5.10	61.64	-8.58	-1.07	0.00	0.00	2.09	5.53	1.80	-1.00	0.00	0.00	-4.77	170.90	
22.00	188632.60	10.04	1.00	4.10	32.68	-8.66	-0.16	0.00	0.00	0.78	3.40	0.60	-1.00	0.00	0.00	-10.32	114.20	
23.00	194125.90	10.30	1.90	6.60	56.65	-9.21	-0.96	0.00	0.00	1.67	5.53	1.40	-1.00	0.00	0.00	-4.94	231.50	
24.00	332064.40	13.86	2.10	6.00	70.02	-13.28	-0.38	0.00	0.00	1.90	4.60	1.40	-1.00	0.00	0.00	-5.83	6.80	
25.00	334156.00	10.76	1.60	5.10	43.75	-11.56	0.26	0.00	0.00	1.34	4.00	0.30	-1.00	0.00	0.00	-6.42	50.40	
26.00	134924.60	15.48	1.90	15.30	214.20	-6.98	-0.14	0.00	0.00	1.34	11.53	0.90	-1.00	0.00	0.00	-9.21	89.40	
27.00	333215.70	13.85	1.50	17.40	249.06	-11.08	-1.64	0.00	0.00	1.10	15.59	1.10	-1.00	0.00	0.00	-10.11	134.10	
28.00	196138.90	11.52	2.30	6.70	59.53	-8.48	1.40	0.00	0.00	1.31	3.87	0.80	-1.00	0.00	0.00	-7.02	324.50	
29.00	184009.60	10.21	1.40	9.00	62.33	-7.04	0.42	0.00	0.00	1.27	5.34	0.40	-1.00	0.00	0.00	-6.45	99.20	
30.00	80465.30	12.69	2.60	3.10	46.60	-8.01	-0.29	0.00	0.00	2.37	3.46	2.00	-1.00	0.00	0.00	-4.28	106.90	
31.00	112311.30	10.46	2.60	3.00	35.61	-8.55	-1.32	0.00	0.00	2.34	3.54	2.30	-1.00	0.00	0.00	-3.58	80.90	
32.00	360205.30	10.10	2.60	3.90	37.85	-12.01	-0.87	0.00	0.00	2.41	3.81	1.80	-1.00	0.00	0.00	-3.35	243.70	
